,favorite_count,retweet_count,tweet_id
311,21520,5098,834209711306186752
312,16455,3881,834167335145570304
313,10494,2265,na
314,13644,2364,834086371694362625
315,14003,2559,833863075296067585
316,18800,3979,833826091328430080
317,0,228,na
318,21652,3418,833722895578886144
319,15507,2200,833479630938062852
320,21100,5154,833124662091542528
321,13888,2365,832998142459011073
322,0,40,832766375433154560
323,17590,3867,832757300183994371
324,12409,3132,na
325,3050,555,na
326,16557,2973,832636085544955904
327,12477,2373,832397519002988544
328,17948,3401,832369869089800192
329,11825,2491,832273373149413377
330,0,6612,na
331,0,10013,793286466235408384
332,70,2,na
333,0,10374,769940407350362112
334,18642,4960,832032796369645570
335,25089,6556,831939770607616000
336,357,35,na
337,28919,6973,831911578865848320
338,10936,1936,831670443132252160
339,7511,2070,831650039864885250
340,9408,2454,831552915512901632
341,9648,1638,831322776149430272
342,6837,1192,831314890077908992
343,12278,2619,831309408604868609
344,12461,2193,831262617675051009
345,8338,1597,830956118893543424
346,70008,17989,830583314243268608
347,0,6100,na
348,10288,3205,830097389742673920
349,0,5380,826958645422342144
350,12811,2095,829861385404309504
351,33244,11386,829501977667235840
352,10958,2167,829449933933666313
353,36268,9968,829374333562798080
354,25670,7946,829141507319934977
355,55532,17391,829011938298429440
356,0,3639,na
357,26787,6289,828770330328104960
358,38381,12046,828708704870555649
359,9955,1445,828650005158301697
360,6608,1234,828409725217865731
361,8031,1380,828408667334647809
362,13247,2387,828381626287656960
363,7735,1144,828376488684695552
364,13157,3167,828372634769440768
365,2302,182,na
366,12338,3069,828046540409180160
367,10865,2307,828011664142393344
368,21120,5605,827933393308442624
369,16169,3223,827653897133101057
370,7769,1018,827600501818671104
371,16654,3288,827324936784117760
372,11098,2407,827199955093843969
373,22660,5380,826958645422342144
374,38288,10979,826848814229237760
375,0,4247,na
376,5374,270,na
377,10581,2521,826598343044452352
378,19353,4512,826476722593865729
379,13948,2779,826240471433412613
380,5131,1001,826204706728968192
381,16453,3374,826115125966958597
382,11001,2013,825876488746565634
383,13388,2678,825829613733629956
384,54768,18491,825535037626056704
385,19251,4919,825147581856677888
386,0,1372,na
387,6676,1372,825026580980314112
388,0,5916,795076720525279233
389,15747,3787,824775105737809920
390,10602,1866,824663919851687936
391,12418,11192,824325607026737152
392,15861,4167,824297040662450181
393,5022,634,na
394,11198,2914,823939620815667201
395,0,12081,na
396,13254,2599,823698991951056896
397,13728,2851,823581103512436736
398,734,27,na
399,16568,4329,823322663322079233
400,0,10611,822244810299936769
401,18216,3709,822975307724496896
402,139389,47273,822872859181809664
403,13942,2466,822859122781683714
404,0,6902,822489041455157248
405,15579,3199,822610349065179137
406,19143,6902,822489041455157248
407,29987,15790,822462929555652610
408,36918,10611,822244810299936769
409,0,5184,na
410,11964,2525,821886054592552961
411,0,3609,780601293052190720
412,8871,1796,821765912948772865
413,8464,1916,821522878252384256
414,0,6042,na
415,12424,4690,821407155391725568
416,267,10,na
417,9180,2177,821149477142556673
418,10119,2301,821107776281669633
419,13361,2477,821044517277233152
420,0,7244,na
421,33280,10697,820749705474965509
422,12873,3476,820690162338279425
423,0,610,na
424,0,2789,800141411257643009
425,3520,610,820314599069138944
426,20925,6793,820078598778454020
427,0,1278,na
428,5617,1278,819952225594261509
429,13592,5224,819924138965999617
430,14214,3385,819711336993198081
431,10118,2132,819588347551064066
432,7625,1305,819347090459463681
433,2416,437,na
434,24374,7244,819227674182828033
435,0,39771,819004789207928832
436,0,20490,819006388206649344
437,47730,20490,819006388206649344
438,91558,39771,819004789207928832
439,0,22577,na
440,23455,8074,818627201767710720
441,10417,2791,818614452752760832
442,0,6651,773547591439122432
443,11530,2680,818536454431260672
444,0,8797,na
445,11645,2473,818259456588812288
446,12989,2809,818145346668916739
447,5124,855,na
448,54755,29429,817827663108771841
449,11317,2902,817777588030476288
450,12478,3288,817536359321714688
451,0,3675,na
452,36127,16173,817423809049493505
453,5929,1043,817415587425058816
454,0,9193,815965888126062592
455,9236,2181,817171279044313089
456,12884,2838,817120951791824896
457,9070,1787,817056537596207104
458,0,5107,790946047744966656
459,10589,2195,816816665971347457
460,10371,2390,816697633502658561
461,32326,8797,816450564926164996
462,9098,2117,816336726218117120
463,9461,2342,816091903011725312
464,0,1128,na
465,0,5753,732005607704649728
466,5284,1128,815990706170904578
467,23732,9193,815965888126062592
468,0,4482,na
469,10419,2464,815736380588433408
470,8699,1781,815639378504589312
471,10967,4128,815390410663231493
472,8096,1393,814986493374636033
473,11919,2942,814638512821694464
474,0,6290,na
475,9164,2017,814530153418203136
476,30489,9417,814152984946876416
477,0,3462,790277108719386624
478,9843,2035,813910431769251840
479,38552,15208,813812734823399424
480,8847,1906,813800671384391680
481,19777,7931,813217879311192066
482,9738,1955,813202711042818048
483,21025,4735,813187585275109376
484,9885,2075,813172481494134784
485,8226,2407,813157384998756352
486,8953,2556,813142281943252992
487,4734,482,na
488,12573,3397,813127235553071104
489,10953,2987,813112099903782912
490,11176,3906,813096980234797056
491,10479,3007,813081915272073216
492,8447,2105,813066793606516737
493,22214,7963,813051729789014016
494,8062,2077,812781114158743552
495,7030,1547,812709052820099072
496,6441,1325,812503138594865152
497,8463,2096,812466868514619392
498,14515,3985,812372222392303616
499,7700,1527,811985615826714624
500,8001,1739,811744184822595584
501,5926,804,na
502,13561,3388,811627196553035776
503,22179,6936,811386757417680897
504,5652,1557,810984648008466432
505,9607,1945,810896035115433984
506,11643,2876,810657562332954624
507,37563,12384,810284425116315648
508,15575,3639,810254102546489344
509,16439,4247,809920757623115780
510,0,5318,793962202520834048
511,7353,1594,809448667128074240
512,21152,6100,809220046199328768
513,14038,3810,809084648806457345
514,10733,3310,808838232662081536
515,8404,2357,808733489898004481
516,11966,2822,808501555154432000
517,45133,22577,na
518,0,6462,801167887901724672
519,9288,2389,808106447573843970
520,13346,3846,808001293671243776
521,15464,3997,807621395395944448
522,126095,60470,807106774843039744
523,0,7960,782969083092471809
524,13862,4167,807010136866902017
525,79744,37867,806629061598597121
526,0,6009,na
527,5157,2091,na
528,10843,2567,806542203287957504
529,0,12686,783334603142598656
530,6826,1293,806219017505546240
531,0,5855,782722587017285632
532,8784,2078,805932861408694272
533,6999,1993,805826823359631360
534,0,8752,na
535,6102,1791,805520626039619589
536,9316,2753,805487414768701441
537,8288,1855,805207605383602176
538,14571,4182,804738744741928960
539,6523,2188,na
540,0,3511,784826004988653570
541,47391,17668,804026231603785732
542,10679,3010,803773317803048960
543,0,8086,691416861947379712
544,11661,4493,803638023904559104
545,8245,2017,803380639571513345
546,0,5771,na
547,10653,2679,803276589882572800
548,9600,2187,802952490266357760
549,0,3180,777684227185868800
550,7558,1602,na
551,9497,2718,802572675407376385
552,17264,6348,802323849832337408
553,7020,1486,802265039247904768
554,9642,2840,802239319792455680
555,0,289,na
556,8197,1859,801958320831508480
557,1873,255,na
558,8723,2233,801538154108952576
559,6435,906,801285440351240192
560,26056,6462,801167887901724672
561,0,4306,na
562,8596,2273,801115094935449600
563,734,104,na
564,0,1775,na
565,11172,3019,800751482706493448
566,13978,3282,800513314459525120
567,10065,2348,800459302930628608
568,0,4690,776113296390942720
569,11857,3056,800388246178004993
570,0,4298,na
571,16295,2789,800141411257643009
572,30196,14332,800018199223959552
573,0,5089,775085121305206785
574,8939,2354,799757951082721281
575,8555,2082,799422915762470912
576,0,6005,na
577,10534,3013,799297094976577539
578,8589,2681,799063471937769472
579,13976,4869,798933932586782720
580,7918,1553,798925670629916672
581,0,7181,na
582,0,8485,na
583,0,7075,712809014606827520
584,0,5398,701214695424991232
585,0,2522,na
586,0,5135,na
587,0,6034,675501041127936000
588,0,4241,671896801591607296
589,0,2017,670444949847023616
590,0,2141,667509363477577728
591,0,6215,na
592,0,6370,na
593,0,3656,771770449999097856
594,11032,2779,798209828535541760
595,12381,3421,797971806841802752
596,15446,5281,797545138759139328
597,21259,7228,797236631975657472
598,246,29,na
599,0,9678,na
600,8151,2072,796865939568373760
601,12609,3325,796759815062253568
602,0,7950,na
603,8053,1923,796484810906615808
604,11697,4531,796387451484782592
605,0,15590,796149732779421699
606,34386,15590,796149732779421699
607,5261,1948,na
608,9684,2633,796116435260952576
609,9008,2524,796080068686737408
610,11512,4008,796031477968412672
611,52961,25935,795464066940764160
612,10729,3124,795400250953527296
613,17266,5916,795076720525279233
614,0,3671,789530855911882752
615,10930,2510,794926589897310208
616,0,11207,788765906553962498
617,10196,2890,794332306219696132
618,9800,3605,794205269047836673
619,17893,5318,793962202520834048
620,9800,2039,793845129635332096
621,0,3403,791672307924209664
622,8478,1774,793601770836660225
623,11382,2588,793500909619806208
624,26166,10013,793286466235408384
625,9205,2584,793271391365783552
626,21265,9085,793256253871034369
627,11182,3564,793241263780818944
628,10467,3113,793226051610669057
629,9497,3057,793210952363732998
630,16257,6130,793195928287055872
631,7373,2171,793180755497136128
632,10017,3028,793165673107161088
633,6565,1853,793150552360284160
634,6874,2716,793135477268291584
635,13500,4253,793120395666812928
636,15252,4373,792913326326026240
637,12035,4654,792883812854292481
638,7809,1826,792773773367906305
639,14310,4673,792394534248386560
640,7626,1967,792050052348907520
641,0,22872,na
642,0,10472,na
643,0,4148,na
644,48010,24184,na
645,12497,3403,791672307924209664
646,13945,4482,791406944514871298
647,9349,2767,791312150644027393
648,0,4470,763837560732971008
649,10514,2325,790987417641750529
650,17674,5107,790946047744966656
651,0,2517,789986461038837761
652,8715,2079,790698747059548161
653,21989,7822,790581940780924928
654,8313,2026,790337582504763392
655,13356,3462,790277108719386624
656,0,3887,na
657,9825,2517,789986461038837761
658,0,4496,na
659,11045,4491,na
660,7984,1939,789628648391401472
661,7195,2107,789599232806223873
662,12505,3671,789530855911882752
663,9167,2509,na
664,0,5377,na
665,9699,2812,789268438468423680
666,10329,3045,789137928387698688
667,29141,13475,788908364977823744
668,29154,11207,788765906553962498
669,0,7832,na
670,16562,5760,788412135785267200
671,7682,2301,788178260857356288
672,6532,1417,788150566354583552
673,0,3726,761004543874392064
674,6536,1439,788039617207472128
675,9215,3325,787810541230227456
676,10864,3027,787717579116802050
677,11538,3082,787397946748833792
678,8273,1902,787322437922873345
679,0,7314,na
680,28253,8676,786963058530906112
681,0,2611,na
682,19313,6612,786709075132383232
683,11314,2778,786664949540159489
684,9994,3364,786595918321680384
685,11568,3799,786363218646138880
686,8447,3104,na
687,16249,5184,786233954131144704
688,1526,168,na
689,0,7661,779834320894713856
690,12059,3438,785927792949071872
691,7087,1980,785872596088811520
692,8298,2405,785639740259303424
693,9662,2174,785533378355396613
694,6478,1365,na
695,7703,1768,785264731401646082
696,12826,5267,785170917014011904
697,10763,3511,784826004988653570
698,9512,2753,784517508296478720
699,6040,1390,784431410685902849
700,21328,8752,na
701,31691,12081,na
702,31860,11716,783839953138683904
703,7797,2119,783821100060905476
704,11081,3499,783695093576368128
705,8956,2440,783466761438031873
706,17875,5961,783391725767262208
707,0,6061,674291829689331712
708,30969,12686,783334603142598656
709,8622,2405,783085675914461188
710,25568,7960,782969083092471809
711,7912,1509,782747129714532352
712,18324,5855,782722587017285632
713,8253,2028,782598630494449665
714,17656,6042,782305851176525824
715,0,6749,707610936765390848
716,11778,3644,781955193151913988
717,11060,2936,781661833186930688
718,4236,1214,na
719,22000,6009,781524684185694209
720,7540,2757,na
721,8936,2271,781251271890235393
722,10357,2960,781163395106082816
723,22935,7950,780931599936458752
724,7627,2169,780858283800297472
725,5827,1406,780800773873668096
726,12813,3609,780601293052190720
727,6671,1868,780543507299794944
728,0,4013,742423162642649089
729,0,126,780465675571605505
730,5602,1156,780459363064549377
731,9216,2414,780192040856543234
732,0,2491,na
733,12962,5400,na
734,20069,7661,779834320894713856
735,9342,3366,779377444025499652
736,0,19916,na
737,12491,3949,779123157194174464
738,15662,4890,779056089409196032
739,21165,7852,778990686406402048
740,0,10780,na
741,909,397,na
742,7298,1434,778748901197160448
743,6093,1618,778650521737498624
744,4916,1092,778624895001436165
745,14450,4698,778408191155695616
746,0,13236,703041942922383361
747,6188,1199,778383379104407553
748,10987,3563,778286802910212101
749,8954,2839,778039065794977792
750,6926,1752,778027018185240576
751,0,3808,na
752,6735,1776,777885031146586112
753,11871,3180,777684227185868800
754,0,4587,750429289032642560
755,9272,2687,777621500824260608
756,15144,4669,777189753083092992
757,0,14867,679828437910089729
758,5163,1309,776813006122586112
759,9343,3012,776477764421582849
760,0,9866,na
761,31700,17239,776218187788611584
762,10142,2719,776201512041189376
763,12411,4690,776113296390942720
764,1931,164,776088309558874112
765,0,17741,733109473259085826
766,12381,2886,775842712763396096
767,14628,4306,775733297511067649
768,13643,4921,775729177962156032
769,7852,3204,775364811441967105
770,10734,4202,na
771,16419,5089,775085121305206785
772,9032,1907,774757887117852673
773,7101,1859,774639367960850432
774,23013,6005,774314388044058624
775,11336,4174,773985718767149057
776,6755,1867,773922276815335424
777,6974,1745,773704673102557184
778,5612,1395,773670344028786688
779,23332,6651,773547591439122432
780,0,5486,na
781,24542,8041,773308813344645120
782,9942,3467,773247546009456640
783,10540,4427,773191601376137218
784,9054,4168,772874595468795904
785,8445,2518,772826251237199873
786,0,3628,765222089175556096
787,6840,1816,772581537120477184
788,6353,1493,772193097816150016
789,3991,1204,772152984096632836
790,3960,793,772117672238714880
791,2865,507,772114938034814977
792,4222,997,772102964165111808
793,6935,2043,na
794,12658,3656,771770449999097856
795,8722,2822,771500959348449280
796,11086,5486,771380787874828288
797,0,8130,673320125483892736
798,9670,3154,771136641138319360
799,6579,1549,771102115905372160
800,7236,1776,771014280602853380
801,0,234,771002114915069954
802,5214,1305,770787842972942337
803,5473,1517,770772746032873472
804,7726,1874,770655131100741632
805,6628,2223,770414268261011456
806,6575,1600,770293541604093952
807,0,3268,741067297519869955
808,7982,2474,770069132691795970
809,33110,10374,769940407350362112
810,6731,1778,769695460001013760
811,0,8259,na
812,5697,1839,769212274728964096
813,15188,7023,768967618174877700
814,0,2890,na
815,4420,955,768855135757926400
816,4335,1296,768609590535680000
817,5286,1374,768596278481657856
818,0,6261,na
819,14353,3683,768473849214140416
820,11486,3808,768193396825583616
821,5005,1504,767884178016927744
822,16877,5771,767754923563974658
823,7870,2506,767500493799231488
824,12917,4079,767191392800108546
825,10663,3058,767122150545391618
826,0,6058,na
827,5343,1456,766793443951665152
828,2745,416,na
829,4242,847,766693171900387328
830,6335,1708,766423252247994368
831,7141,2023,766313309717037056
832,0,2791,725842282449125380
833,4484,921,766069192135237633
834,3945,529,766008557347233792
835,7615,2303,765719895086596097
836,5469,1308,765669514012917760
837,27849,3645,765395759286149124
838,7456,2320,765371051345846272
839,12225,3628,765222089175556096
840,6768,1901,764857472309948416
841,6363,1624,764259772866658304
842,784,58,na
843,13262,4470,763837560732971008
844,5674,1577,763183833575481344
845,0,3242,na
846,7736,2451,763103480118640640
847,12796,3887,762699853369581568
848,11860,6936,762471745303355393
849,10840,4496,762464530748145664
850,5058,1207,762316483720511488
851,33622,16747,762035577168560129
852,5679,2163,761976704302714881
853,0,4221,685325091882799104
854,4466,920,761745343629422592
855,52116,31136,761672828462718981
856,4341,1261,761599864782348294
857,0,19269,711694754292109313
858,5461,1553,761334013550268417
859,4690,1176,761292941797326848
860,5584,1669,761227386398633985
861,11903,3726,761004543874392064
862,4018,1041,760893927574605825
863,6949,2065,760656987008987136
864,5208,1383,760641126541983744
865,7959,3893,760539157622059009
866,4438,1496,na
867,28199,12303,760289324994879489
868,4141,927,760252748986220544
869,5983,1938,760190172482920448
870,0,33,na
871,6232,2239,na
872,15409,6058,759923789979262976
873,7051,2125,759846345045835776
874,6259,2036,759793413751472128
875,0,22632,739544071010713604
876,4923,1256,759557292580806657
877,8916,2611,759447672080175104
878,1758,521,na
879,6355,2086,759197380596170757
880,0,1242,670319122597543936
881,15256,4468,759099516616339456
882,6829,2168,759047798813712385
883,3727,958,758854659951865861
884,11718,4093,758828647570558976
885,6009,1722,758740300751708160
886,4012,1064,758474885559615488
887,5036,2379,758467147756691456
888,5459,2069,758405694332735488
889,3600,1158,758355003270651905
890,20148,10780,na
891,2840,401,758041011524427776
892,7222,3480,757741862451109889
893,0,8678,679062609438445568
894,4754,1303,757725635913584640
895,4789,1195,757611655744393216
896,0,313,757596935922515969
897,4556,1132,757596060105707520
898,15878,7323,757400155624792065
899,6112,1870,757393098737651713
900,4733,1524,757354752359432192
901,6577,2127,756998020437278720
902,6974,2150,756939201392807936
903,5308,1399,756651745628057600
904,10903,3863,756526239901507585
905,4136,1161,756303244222160896
906,44939,18674,756288526673649665
907,6723,1627,756275824932876290
908,7691,3095,755955658164465664
909,17264,5765,755206499077615616
910,22259,11844,755110610942169088
911,0,8565,679158360810352640
912,7203,2700,754856550720761857
913,2700,555,754747081328328704
914,5556,2086,754481405627957248
915,3923,780,754449482473992192
916,8221,2495,754120358878412800
917,6132,2321,753655892701249536
918,8307,3817,753420390836346880
919,6043,2053,753398183879991296
920,8006,2491,753375662195507200
921,0,6152,na
922,3554,1117,753294480162295809
923,38926,22369,na
924,4084,1044,753026963640573953
925,13236,7314,na
926,7229,1685,752917276685438976
927,0,3091,na
928,6268,1717,752682082904772608
929,4617,1681,752660706479239172
930,5788,2442,na
931,7723,3686,752519679353257984
932,4000,1178,752334354492362752
933,0,17859,675354114423808004
934,6232,1970,752173142286692352
935,3217,993,na
936,5458,1439,751937146756468736
937,6072,2090,751830383478632448
938,6136,3107,na
939,8269,3247,751598350038929408
940,4607,1184,751583840003584000
941,5274,1351,751538705064755201
942,3357,1070,751456786360725504
943,13075,6267,751250895690731520
944,6597,1956,751205334442766336
945,5308,1389,751132866713677825
946,5002,1475,750868771745763329
947,13822,5377,750719617786609664
948,4647,1223,750506196939972608
949,13796,4587,750429289032642560
950,4762,1216,750383404370300928
951,725,30,na
952,3251,1028,750147201331068929
953,3802,1363,750132096795049984
954,4529,1383,750117017039011840
955,3174,899,750101891116392448
956,2274,576,749842022312337408
957,8220,3568,750071693578735616
958,3289,955,749833783789154304
959,3317,658,749828107587248128
960,2832,839,750023357219962880
961,3395,967,749821559804690432
962,3180,862,749823820396163072
963,5343,2611,749850882955702272
964,4870,1400,749774184847446016
965,6378,1770,749417644336513024
966,2745,578,749403085643063300
967,8988,3689,749395837562843136
968,5731,2356,749316899712950272
969,6013,2208,na
970,4998,1614,749064343547944960
971,3245,833,749036286288207872
972,11219,3625,748977397119258624
973,6099,2406,748932629869756416
974,2888,1009,748704826305970176
975,4945,1699,748699139601563648
976,4429,1412,748692763684835328
977,6336,2106,748575526948843521
978,2285,712,748568890477789184
979,5452,1320,748346678575497217
980,8017,4384,na
981,3863,815,748324042759938048
982,3830,756,748307320023703552
983,14767,8292,na
984,6035,2274,747963600220917761
985,6910,2711,747933264640380928
986,3075,1047,747885821378715648
987,2935,795,747844091732430850
988,5051,1234,747816839879757824
989,1442,164,na
990,13474,6211,na
991,2422,584,747600758972026880
992,3851,1116,747594043354419201
993,5776,1686,747512645096476672
994,4030,1092,747461595794673665
995,5659,2046,na
996,0,3054,na
997,5515,1676,747219814297501696
998,3523,975,747204153907253248
999,9987,4235,747103470537347072
1000,3008,313,746906454414790656
1001,6256,2281,746872782257008640
1002,5535,1831,746818901464453120
1003,5082,1689,746790588880674817
1004,9978,4148,na
